date,new_cases,new_deaths,new_tests,new_vaccinations,hosp_patients,icu_patients,stringency_index,reproduction_rate,total_cases,total_tests,total_vaccinations,people_vaccinated,total_boosters,lag_1,lag_2,lag_3,lag_7,lag_14,rolling_mean_3,rolling_std_3,rolling_mean_7,rolling_std_7,day_of_week,months,target_t_plus,date_t_plus
2020-09-06,50197.0,126.0,1153183.0,4977.0,4629.428571428572,448.85714285714283,48.01571428571429,1.3272714285714287,180767.0,8194778.0,616.0,0.0,0.0,,,,,,,,,,6,9,258.0,2020-08-30
2020-09-13,61432.0,258.0,1365371.0,4977.0,5061.857142857143,606.4285714285714,48.61,1.2563571428571427,242199.0,9560149.0,616.0,0.0,0.0,126.0,,,,,,,,,6,9,429.0,2020-09-06
2020-09-20,73481.0,429.0,1401487.0,4977.0,5630.428571428572,789.5714285714286,48.61,1.221042857142857,315680.0,10961636.0,616.0,0.0,0.0,258.0,126.0,,,,271.0,151.91774089947495,,,6,9,559.0,2020-09-13
2020-09-27,72509.0,559.0,1185597.0,4977.0,5971.142857142857,1028.7142857142858,47.81857142857143,1.1827857142857143,388189.0,12147233.0,616.0,0.0,0.0,429.0,258.0,126.0,,,415.3333333333333,150.96467577990998,,,6,9,561.0,2020-09-20
2020-10-04,74819.0,561.0,1113751.0,4977.0,6647.0,1248.7142857142858,49.54,1.1541142857142856,463008.0,13260984.0,616.0,0.0,0.0,559.0,429.0,258.0,,,516.3333333333334,75.6394958558909,,,6,10,690.0,2020-09-27
2020-10-11,116159.0,690.0,1282442.0,4977.0,7688.571428571428,1432.5714285714287,47.951428571428565,1.2472285714285714,579167.0,14543426.0,616.0,0.0,0.0,561.0,559.0,429.0,,,603.3333333333334,75.06219643291377,,,6,10,963.0,2020-10-04
2020-10-18,167835.0,963.0,1621391.0,4977.0,9667.57142857143,1739.2857142857142,45.568571428571424,1.3146428571428572,747002.0,16164817.0,616.0,0.0,0.0,690.0,561.0,559.0,,,738.0,205.25350179716787,512.2857142857143,276.91618123282615,6,10,1774.0,2020-10-11
2020-10-25,261329.0,1774.0,1915210.0,4977.0,14046.0,2329.285714285714,49.54,1.3532,1008331.0,18080027.0,616.0,0.0,0.0,963.0,690.0,561.0,126.0,,1142.3333333333333,563.8123210194447,747.7142857142857,502.46317088443215,6,10,3154.0,2020-10-18
2020-11-01,332505.0,3154.0,2158771.0,4977.0,21033.428571428572,3176.1428571428573,62.037142857142854,1.345457142857143,1340836.0,20238798.0,616.0,0.0,0.0,1774.0,963.0,690.0,258.0,,1963.6666666666667,1107.7456085822835,1161.4285714285713,988.8621166342078,6,11,4794.0,2020-10-25
2020-11-08,303116.0,4794.0,2100230.0,4977.0,27977.714285714286,4164.142857142857,78.7,1.2066571428571429,1643952.0,22339028.0,616.0,0.0,0.0,3154.0,1774.0,963.0,429.0,,3240.6666666666665,1511.8641914316688,1785.0,1622.9768944750876,6,11,5487.0,2020-11-01
2020-11-15,176429.0,5487.0,1603274.0,4977.0,32191.571428571428,4815.428571428572,78.7,0.8752285714285714,1820381.0,23942302.0,616.0,0.0,0.0,4794.0,3154.0,1774.0,559.0,,4478.333333333333,1198.1053097843003,2489.0,2022.2405066328452,6,11,5602.0,2020-11-08
2020-11-22,114947.0,5602.0,1399675.0,4977.0,32356.0,4669.571428571428,78.7,0.7297,1935328.0,25341977.0,616.0,0.0,0.0,5487.0,4794.0,3154.0,561.0,,5294.333333333333,437.0999123007631,3209.1428571428573,2116.6043897850027,6,11,4679.0,2020-11-15
2020-11-29,77077.0,4679.0,1219039.0,4977.0,29473.14285714286,4033.8571428571427,77.64285714285714,0.6740571428571428,2012405.0,26561016.0,616.0,0.0,0.0,5602.0,5487.0,4794.0,690.0,,5256.0,502.9940357499297,3779.0,1844.8723533079462,6,11,3963.0,2020-11-22
2020-12-06,71372.0,3963.0,1170420.0,4977.0,26869.428571428572,3419.8571428571427,75.0,0.7856285714285713,2083777.0,27731436.0,616.0,0.0,0.0,4679.0,5602.0,5487.0,963.0,,4748.0,821.6757267925112,4207.571428571428,1368.673915041229,6,12,3792.0,2020-11-29
2020-12-13,77674.0,3792.0,1336217.0,4977.0,25434.0,2976.0,75.0,0.9345428571428572,2161451.0,29067653.0,616.0,0.0,0.0,3963.0,4679.0,5602.0,1774.0,126.0,4144.666666666667,470.5787217175624,4495.857142857143,904.4592175385663,6,12,3383.0,2020-12-06
2020-12-20,92919.0,3383.0,2341687.0,4977.0,25116.0,2804.5714285714284,65.47714285714287,1.028857142857143,2254370.0,31409340.0,616.0,0.0,0.0,3792.0,3963.0,4679.0,3154.0,258.0,3712.6666666666665,298.0274036617027,4528.571428571428,850.3585238284018,6,12,3119.0,2020-12-13
2020-12-27,83888.0,3119.0,2971523.0,4977.0,24716.428571428572,2672.285714285714,63.89,1.0323714285714285,2338258.0,34380863.0,616.0,616.0,0.0,3383.0,3792.0,3963.0,4794.0,429.0,3431.3333333333335,339.09339912970245,4289.285714285715,987.783160126032,6,12,2915.0,2020-12-20
2021-01-03,88948.0,2915.0,1810817.0,4003.0,24550.85714285714,2649.0,63.89,1.0837285714285714,2427206.0,36191680.0,4619.0,4611.0,0.0,3119.0,3383.0,3792.0,5487.0,559.0,3139.0,234.64015001700454,3921.8571428571427,945.4636302843562,6,1,3429.0,2020-12-27
2021-01-10,122263.0,3429.0,1992382.0,106438.0,24596.0,2611.285714285714,63.89,1.1368285714285713,2549469.0,38184062.0,111057.0,110937.0,0.0,2915.0,3119.0,3383.0,5602.0,561.0,3154.3333333333335,258.81524942192976,3611.4285714285716,592.8568846815247,6,1,3454.0,2021-01-03
2021-01-17,118842.0,3454.0,1962362.0,351260.0,24923.14285714286,2712.5714285714284,63.89,1.1108428571428572,2668311.0,40146424.0,462317.0,461570.0,1.0,3429.0,2915.0,3119.0,4679.0,690.0,3266.0,304.23181950611666,3436.4285714285716,360.4570511368617,6,1,3414.0,2021-01-10
2021-01-24,130149.0,3414.0,2020080.0,683158.0,25794.0,2869.0,63.89,1.0880142857142856,2798460.0,42166504.0,1145475.0,1143460.0,1.0,3454.0,3429.0,2915.0,3963.0,963.0,3432.3333333333335,20.207259421695284,3358.0,276.8104044287284,6,1,3159.0,2021-01-17
2021-01-31,132624.0,3159.0,2189860.0,590185.0,27176.714285714286,3095.8571428571427,63.89,1.0501285714285715,2931084.0,44356364.0,1735660.0,1680348.0,2.0,3414.0,3454.0,3429.0,3792.0,1774.0,3342.3333333333335,160.0260395477427,3267.5714285714284,205.6484517672857,6,1,3069.0,2021-01-24
2021-02-07,128451.0,3069.0,2242433.0,598914.0,27739.0,3243.8571428571427,63.89,1.0308428571428572,3059535.0,46598797.0,2334574.0,2056671.0,2.0,3159.0,3414.0,3454.0,3383.0,3154.0,3214.0,178.95530168173948,3222.714285714286,210.46354734704187,6,2,2892.0,2021-01-31
2021-02-14,110436.0,2892.0,2177017.0,797756.0,27004.285714285714,3316.0,60.19,1.0089142857142857,3169971.0,48775814.0,3132330.0,2434766.0,2.0,3069.0,3159.0,3414.0,3119.0,4794.0,3040.0,135.8418197758054,3190.285714285714,243.93422220324163,6,2,2516.0,2021-02-07
2021-02-21,117551.0,2516.0,2145741.0,830124.0,25794.0,3367.714285714286,60.19,1.0355,3287522.0,50921555.0,3962454.0,2730723.0,23.0,2892.0,3069.0,3159.0,2915.0,5487.0,2825.6666666666665,282.40455614833076,3133.285714285714,344.7606485112539,6,2,2151.0,2021-02-14
2021-02-28,127696.0,2151.0,2065599.0,853743.0,25403.0,3442.5714285714284,64.55285714285715,1.0571714285714287,3415218.0,52987154.0,4816197.0,3154522.0,32.0,2516.0,2892.0,3069.0,3429.0,5602.0,2519.6666666666665,370.5136074874115,2950.714285714286,475.61739324997353,6,2,2033.0,2021-02-21
2021-03-07,124259.0,2033.0,2063641.0,1321391.0,24986.14285714286,3644.5714285714284,66.00714285714285,1.0580142857142858,3539477.0,55050795.0,6137588.0,4132366.0,46.0,2151.0,2516.0,2892.0,3454.0,4679.0,2233.3333333333335,251.8061423661774,2747.714285714286,525.6284220770723,6,3,1872.0,2021-02-28
2021-03-14,142978.0,1872.0,2319709.0,1589674.0,24947.428571428572,3986.714285714286,65.61,1.1097571428571429,3682455.0,57370504.0,7727262.0,5423698.0,60.0,2033.0,2151.0,2516.0,3414.0,3963.0,2018.6666666666667,140.05118112081612,2527.4285714285716,522.967448681987,6,3,1799.0,2021-03-07
2021-03-21,183823.0,1799.0,2720927.0,1267909.0,25495.14285714286,4281.285714285715,65.61,1.1682428571428571,3866278.0,60091431.0,8995171.0,6489128.0,82.0,1872.0,2033.0,2151.0,3159.0,3792.0,1901.3333333333333,119.72607624630335,2333.1428571428573,501.40915713331043,6,3,1834.0,2021-03-14
2021-03-28,223964.0,1834.0,3218150.0,1860996.0,27052.714285714286,4710.142857142857,69.57714285714286,1.1725428571428573,4090242.0,63309581.0,10856167.0,8121994.0,100.0,1799.0,1872.0,2033.0,3069.0,3383.0,1835.0,36.51027252708888,2156.714285714286,407.8879397929841,6,3,1959.0,2021-03-21
